"Month","Date","State","TotalSamples","Negative","Positive"
"2020-04",2020-04-27,"Andaman and Nicobar Islands",2848,,33
"2020-04",2020-04-30,"Andhra Pradesh",94558,93155,1403
"2020-04",2020-04-30,"Arunachal Pradesh",694,656,2
"2020-04",2020-04-29,"Assam",9520,8771,37
"2020-04",2020-04-30,"Bihar",22672,,409
"2020-04",2020-04-30,"Chandigarh",1147,1022,74
"2020-04",2020-04-30,"Chhattisgarh",17541,16602,40
"2020-04",2020-04-30,"Dadra and Nagar Haveli and Daman and Diu",3464,3464,0
"2020-04",2020-04-29,"Delhi",47225,39920,3439
"2020-04",2020-04-30,"Goa",2031,,7
"2020-04",2020-04-30,"Gujarat",64007,59612,4395
"2020-04",2020-04-30,"Haryana",28202,25929,339
"2020-04",2020-04-30,"Himachal Pradesh",6133,6091,40
"2020-04",2020-04-30,"Jammu and Kashmir",19746,19132,614
"2020-04",2020-04-30,"Jharkhand",10987,10878,109
"2020-04",2020-04-30,"Karnataka",60156,57548,565
"2020-04",2020-04-30,"Kerala",27481,26032,497
"2020-04",2020-04-30,"Ladakh",2245,1384,22
"2020-04",2020-04-30,"Madhya Pradesh",41712,29816,2625
"2020-04",2020-04-23,"Maharashtra",89197,83979,5218
"2020-04",2020-04-30,"Manipur",459,,2
"2020-04",2020-04-30,"Meghalaya",1595,1433,12
"2020-04",2020-04-30,"Mizoram",180,,1
"2020-04",2020-04-30,"Nagaland",653,640,0
"2020-04",2020-04-30,"Odisha",31696,,142
"2020-04",2020-04-30,"Puducherry",2353,2292,8
"2020-04",2020-04-30,"Punjab",21205,17286,480
"2020-04",2020-04-30,"Rajasthan",103704,,2584
"2020-04",2020-04-30,"Tamil Nadu",119748,115761,2323
"2020-04",2020-04-29,"Telangana",19278,,1016
"2020-04",2020-04-22,"Tripura",3215,3123,2
"2020-04",2020-04-30,"Uttar Pradesh",78013,74864,2211
"2020-04",2020-04-30,"Uttarakhand",6565,6100,57
"2020-04",2020-04-30,"West Bengal",16525,,758
"2020-05",2020-05-31,"Andaman and Nicobar Islands",7706,,33
"2020-05",2020-05-31,"Andhra Pradesh",372748,369177,3045
"2020-05",2020-05-31,"Arunachal Pradesh",8283,7012,4
"2020-05",2020-05-31,"Assam",109097,101006,1272
"2020-05",2020-05-31,"Bihar",75737,,3692
"2020-05",2020-05-31,"Chandigarh",4785,4478,293
"2020-05",2020-05-31,"Chhattisgarh",69152,67268,492
"2020-05",2020-05-29,"Dadra and Nagar Haveli and Daman and Diu",11477,11475,2
"2020-05",2020-05-31,"Delhi",212784,,19844
