"Month","Date","State","TotalSamples","Negative","Positive"
"2020-04","2020-04-01","Delhi",2621,,
"2020-04","2020-04-01","Kerala",7965,7256,265
"2020-04","2020-04-01","West Bengal",659,568,37
"2020-04","2020-04-02","Andhra Pradesh",1800,1175,132
"2020-04","2020-04-02","Assam",962,819,16
"2020-04","2020-04-02","Chandigarh",124,98,18
"2020-04","2020-04-02","Chhattisgarh",1232,921,9
"2020-04","2020-04-02","Goa",220,197,5
"2020-04","2020-04-02","Kerala",8456,7622,286
"2020-04","2020-04-02","Punjab",1434,,37
"2020-04","2020-04-02","Uttarakhand",678,554,7
"2020-04","2020-04-03","Haryana",1325,938,44
"2020-04","2020-04-03","Karnataka",4587,4281,128
"2020-04","2020-04-03","Kerala",9139,8126,295
"2020-04","2020-04-03","Odisha",1395,1108,20
"2020-04","2020-04-03","Tamil Nadu",3684,2789,411
"2020-04","2020-04-04","Kerala",9744,8586,306
"2020-04","2020-04-04","West Bengal",1042,,
"2020-04","2020-04-05","Bihar",3037,2299,32
"2020-04","2020-04-05","Jammu and Kashmir",1551,1429,106
"2020-04","2020-04-05","Kerala",10221,9300,314
"2020-04","2020-04-05","Madhya Pradesh",2812,1954,193
"2020-04","2020-04-05","Maharashtra",16008,14837,
"2020-04","2020-04-05","Uttar Pradesh",5255,4796,278
"2020-04","2020-04-06","Kerala",10716,9607,327
"2020-04","2020-04-06","Maharashtra",17563,15808,868
"2020-04","2020-04-06","Mizoram",58,0,1
"2020-04","2020-04-06","Nagaland",60,47,0
"2020-04","2020-04-06","West Bengal",1301,,
"2020-04","2020-04-07","Delhi",9041,7308,576
"2020-04","2020-04-07","Haryana",2520,1821,141
"2020-04","2020-04-07","Karnataka",6580,5942,175
"2020-04","2020-04-07","Kerala",11232,10250,336
"2020-04","2020-04-07","Madhya Pradesh",3770,3125,290
"2020-04","2020-04-07","Maharashtra",20877,19290,1018
"2020-04","2020-04-07","Mizoram",58,0,1
"2020-04","2020-04-07","Odisha",2441,,42
"2020-04","2020-04-07","Rajasthan",17638,16401,363
"2020-04","2020-04-07","Uttarakhand",1289,1092,32
"2020-04","2020-04-07","West Bengal",1487,,
"2020-04","2020-04-08","Bihar",4596,,38
"2020-04","2020-04-08","Chandigarh",184,162,18
"2020-04","2020-04-08","Gujarat",4224,3905,186
"2020-04","2020-04-08","Haryana",2650,1885,153
"2020-04","2020-04-08","Karnataka",6967,6473,181
"2020-04","2020-04-08","Kerala",11986,10906,354
"2020-04","2020-04-08","Madhya Pradesh",4056,3443,341
"2020-04","2020-04-08","Mizoram",74,,1
"2020-04","2020-04-08","Odisha",2441,2399,42
"2020-04","2020-04-08","Punjab",2937,2614,106
"2020-04","2020-04-08","Rajasthan",17638,16401,363
"2020-04","2020-04-08","Tamil Nadu",5305,4414,690
"2020-04","2020-04-09","Arunachal Pradesh",206,185,1
"2020-04","2020-04-09","Bihar",4991,,43
"2020-04","2020-04-09","Dadra and Nagar Haveli and Daman and Diu",80,80,0
"2020-04","2020-04-09","Delhi",9968,8643,720
"2020-04","2020-04-09","Goa",344,,7
"2020-04","2020-04-09","Haryana",2964,2017,156
"2020-04","2020-04-09","Karnataka",7613,7176,197
"2020-04","2020-04-09","Kerala",12710,11469,357
"2020-04","2020-04-09","Madhya Pradesh",5135,3989,411
"2020-04","2020-04-09","Maharashtra",20877,19290,868
"2020-04","2020-04-09","Mizoram",84,,1
"2020-04","2020-04-09","Odisha",3249,3201,48
"2020-04","2020-04-09","Punjab",3192,2777,130
"2020-04","2020-04-09","Rajasthan",19107,17851,463
"2020-04","2020-04-09","Tamil Nadu",7267,5824,834
"2020-04","2020-04-09","Uttar Pradesh",8402,7898,410
"2020-04","2020-04-09","Uttarakhand",1531,1235,35
"2020-04","2020-04-09","West Bengal",1889,,
"2020-04","2020-04-10","Andhra Pradesh",6374,6009,365
"2020-04","2020-04-10","Assam",2863,2685,29
"2020-04","2020-04-10","Bihar",5457,,60
"2020-04","2020-04-10","Chandigarh",223,199,19
"2020-04","2020-04-10","Chhattisgarh",3473,3322,18
"2020-04","2020-04-10","Dadra and Nagar Haveli and Daman and Diu",130,130,0
"2020-04","2020-04-10","Delhi",11061,9662,903
"2020-04","2020-04-10","Goa",354,,7
"2020-04","2020-04-10","Gujarat",7718,7237,378
"2020-04","2020-04-10","Haryana",3527,2447,162
"2020-04","2020-04-10","Himachal Pradesh",900,870,30
"2020-04","2020-04-10","Jammu and Kashmir",2961,2754,207
"2020-04","2020-04-10","Jharkhand",1340,1326,14
"2020-04","2020-04-10","Karnataka",7975,7673,207
"2020-04","2020-04-10","Kerala",13339,12335,364
"2020-04","2020-04-10","Madhya Pradesh",7049,4840,451
"2020-04","2020-04-10","Maharashtra",30000,28865,1135
"2020-04","2020-04-10","Nagaland",70,69,0
"2020-04","2020-04-10","Odisha",3547,3497,50
"2020-04","2020-04-10","Punjab",3461,2972,151
"2020-04","2020-04-10","Rajasthan",22349,20698,561
"2020-04","2020-04-10","Tamil Nadu",8410,6838,911
"2020-04","2020-04-10","Uttar Pradesh",9332,8798,433
"2020-04","2020-04-10","Uttarakhand",1688,1320,35
"2020-04","2020-04-10","West Bengal",2095,,
"2020-04","2020-04-11","Andhra Pradesh",6958,6577,381
"2020-04","2020-04-11","Assam",3011,2842,29
"2020-04","2020-04-11","Bihar",6250,,61
"2020-04","2020-04-11","Chandigarh",264,223,19
"2020-04","2020-04-11","Chhattisgarh",3858,3503,18
"2020-04","2020-04-11","Dadra and Nagar Haveli and Daman and Diu",211,211,0
"2020-04","2020-04-11","Delhi",11709,10218,1069
"2020-04","2020-04-11","Gujarat",9763,8888,468
"2020-04","2020-04-11","Haryana",3663,2472,165
"2020-04","2020-04-11","Himachal Pradesh",900,870,30
"2020-04","2020-04-11","Jammu and Kashmir",3206,2982,224
"2020-04","2020-04-11","Jharkhand",1546,1529,17
"2020-04","2020-04-11","Karnataka",8560,8231,215
"2020-04","2020-04-11","Kerala",14163,12818,373
"2020-04","2020-04-11","Madhya Pradesh",8516,5790,529
"2020-04","2020-04-11","Nagaland",70,70,0
"2020-04","2020-04-11","Odisha",3551,3497,51
"2020-04","2020-04-11","Punjab",3909,3249,158
"2020-04","2020-04-11","Rajasthan",24857,22583,678
"2020-04","2020-04-11","Tamil Nadu",9842,7779,969
"2020-04","2020-04-11","Tripura",337,335,2
"2020-04","2020-04-11","Uttar Pradesh",10595,10012,452
"2020-04","2020-04-11","Uttarakhand",1705,1340,35
"2020-04","2020-04-11","West Bengal",2286,,126
"2020-04","2020-04-12","Andhra Pradesh",6958,6553,405
"2020-04","2020-04-12","Assam",3138,2973,29
"2020-04","2020-04-12","Bihar",6703,,64
"2020-04","2020-04-12","Chandigarh",279,247,21
"2020-04","2020-04-12","Chhattisgarh",3945,3856,31
"2020-04","2020-04-12","Delhi",14036,11748,1154
"2020-04","2020-04-12","Goa",406,,7
"2020-04","2020-04-12","Gujarat",11715,10867,516
"2020-04","2020-04-12","Haryana",3903,2513,181
"2020-04","2020-04-12","Himachal Pradesh",1113,944,32
"2020-04","2020-04-12","Jammu and Kashmir",3600,3355,245
"2020-04","2020-04-12","Jharkhand",1683,1666,17
"2020-04","2020-04-12","Karnataka",9251,8831,232
"2020-04","2020-04-12","Kerala",14989,13802,375
"2020-04","2020-04-12","Madhya Pradesh",10481,6875,562
"2020-04","2020-04-12","Mizoram",87,,1
"2020-04","2020-04-12","Nagaland",74,70,0
"2020-04","2020-04-12","Odisha",3862,3808,54
"2020-04","2020-04-12","Punjab",4281,3590,170
"2020-04","2020-04-12","Rajasthan",28505,25105,796
"2020-04","2020-04-12","Tamil Nadu",10655,,1075
"2020-04","2020-04-12","Uttar Pradesh",11855,11250,483
"2020-04","2020-04-12","Uttarakhand",1820,1452,35
"2020-04","2020-04-12","West Bengal",2523,,134
"2020-04","2020-04-13","Andhra Pradesh",8755,8323,432
"2020-04","2020-04-13","Bihar",7263,,65
"2020-04","2020-04-13","Chandigarh",296,263,21
"2020-04","2020-04-13","Chhattisgarh",4377,3969,31
"2020-04","2020-04-13","Delhi",15032,12283,1510
"2020-04","2020-04-13","Goa",440,,7
"2020-04","2020-04-13","Gujarat",14251,12970,572
"2020-04","2020-04-13","Haryana",4489,2961,182
"2020-04","2020-04-13","Himachal Pradesh",1210,1109,32
"2020-04","2020-04-13","Jammu and Kashmir",4065,3795,270
"2020-04","2020-04-13","Jharkhand",1982,1963,19
"2020-04","2020-04-13","Karnataka",10017,9572,247
"2020-04","2020-04-13","Kerala",15683,14829,378
"2020-04","2020-04-13","Ladakh",618,,17
"2020-04","2020-04-13","Madhya Pradesh",10481,6875,614
"2020-04","2020-04-13","Mizoram",89,,1
"2020-04","2020-04-13","Odisha",4170,4116,54
"2020-04","2020-04-13","Punjab",4480,3858,176
"2020-04","2020-04-13","Rajasthan",31804,28657,847
"2020-04","2020-04-13","Tamil Nadu",12746,,1173
"2020-04","2020-04-13","Uttar Pradesh",13287,12542,558
"2020-04","2020-04-13","Uttarakhand",1998,1665,35
"2020-04","2020-04-13","West Bengal",2793,,152
"2020-04","2020-04-14","Andhra Pradesh",10505,10032,473
"2020-04","2020-04-14","Arunachal Pradesh",280,250,1
"2020-04","2020-04-14","Assam",3491,3267,31
"2020-04","2020-04-14","Bihar",7727,,62
"2020-04","2020-04-14","Chandigarh",309,285,21
"2020-04","2020-04-14","Chhattisgarh",4812,4319,33
"2020-04","2020-04-14","Delhi",16282,13748,1561
"2020-04","2020-04-14","Goa",479,,7
"2020-04","2020-04-14","Gujarat",14980,14363,617
"2020-04","2020-04-14","Haryana",5210,3681,184
"2020-04","2020-04-14","Himachal Pradesh",1311,1232,32
"2020-04","2020-04-14","Jammu and Kashmir",4619,4341,278
"2020-04","2020-04-14","Jharkhand",2334,2307,27
"2020-04","2020-04-14","Karnataka",11107,10554,260
"2020-04","2020-04-14","Kerala",16235,15488,386
"2020-04","2020-04-14","Ladakh",760,615,17
"2020-04","2020-04-14","Madhya Pradesh",8105,7103,741
"2020-04","2020-04-14","Manipur",276,,2
"2020-04","2020-04-14","Mizoram",91,,1
"2020-04","2020-04-14","Nagaland",174,97,0
"2020-04","2020-04-14","Odisha",4734,4678,56
"2020-04","2020-04-14","Punjab",4844,4047,184
"2020-04","2020-04-14","Rajasthan",34928,29376,1005
"2020-04","2020-04-14","Tamil Nadu",19255,13234,1204
"2020-04","2020-04-14","Uttar Pradesh",15914,15134,660
"2020-04","2020-04-14","Uttarakhand",2174,1838,35
"2020-04","2020-04-14","West Bengal",3081,,190
"2020-04","2020-04-15","Andhra Pradesh",11613,11088,525
"2020-04","2020-04-15","Assam",3613,3492,32
"2020-04","2020-04-15","Bihar",8263,,66
"2020-04","2020-04-15","Chandigarh",317,293,21
"2020-04","2020-04-15","Chhattisgarh",5122,4878,33
"2020-04","2020-04-15","Dadra and Nagar Haveli and Daman and Diu",356,356,0
"2020-04","2020-04-15","Delhi",16605,13865,1578
"2020-04","2020-04-15","Goa",556,,7
"2020-04","2020-04-15","Gujarat",19197,18431,766
"2020-04","2020-04-15","Haryana",7388,5581,190
"2020-04","2020-04-15","Himachal Pradesh",1426,1391,35
"2020-04","2020-04-15","Jammu and Kashmir",5171,4871,300
"2020-04","2020-04-15","Karnataka",12483,11905,279
"2020-04","2020-04-15","Kerala",16475,16002,387
"2020-04","2020-04-15","Ladakh",820,657,18
"2020-04","2020-04-15","Madhya Pradesh",9596,8658,938
"2020-04","2020-04-15","Mizoram",94,,1
"2020-04","2020-04-15","Nagaland",184,174,0
"2020-04","2020-04-15","Odisha",5537,5477,60
"2020-04","2020-04-15","Punjab",5193,4404,186
"2020-04","2020-04-15","Rajasthan",37860,31902,1076
"2020-04","2020-04-15","Tamil Nadu",21994,15210,1242
"2020-04","2020-04-15","Tripura",738,,2
"2020-04","2020-04-15","Uttar Pradesh",19506,18595,727
"2020-04","2020-04-15","Uttarakhand",2413,2022,37
"2020-04","2020-04-15","West Bengal",3470,,213
"2020-04","2020-04-16","Andhra Pradesh",20235,19701,534
"2020-04","2020-04-16","Assam",4108,3803,34
"2020-04","2020-04-16","Bihar",8846,,72
"2020-04","2020-04-16","Chandigarh",337,315,21
"2020-04","2020-04-16","Chhattisgarh",5519,5168,33
"2020-04","2020-04-16","Dadra and Nagar Haveli and Daman and Diu",382,382,0
"2020-04","2020-04-16","Delhi",18784,14692,1640
"2020-04","2020-04-16","Goa",611,,7
"2020-04","2020-04-16","Gujarat",20903,19974,929
"2020-04","2020-04-16","Haryana",8064,6465,214
"2020-04","2020-04-16","Himachal Pradesh",1604,1559,35
"2020-04","2020-04-16","Jammu and Kashmir",5680,5366,314
"2020-04","2020-04-16","Karnataka",13724,13074,315
"2020-04","2020-04-16","Kerala",17400,16459,394
"2020-04","2020-04-16","Ladakh",917,695,18
"2020-04","2020-04-16","Madhya Pradesh",13492,12326,1164
"2020-04","2020-04-16","Meghalaya",552,299,7
"2020-04","2020-04-16","Mizoram",94,,1
"2020-04","2020-04-16","Odisha",6734,6674,60
"2020-04","2020-04-16","Punjab",5524,4727,197
"2020-04","2020-04-16","Rajasthan",40778,33739,1101
"2020-04","2020-04-16","Tamil Nadu",26005,18743,1267
"2020-04","2020-04-16","Tripura",762,760,2
"2020-04","2020-04-16","Uttar Pradesh",21384,20374,805
"2020-04","2020-04-16","Uttarakhand",2593,2210,37
"2020-04","2020-04-16","West Bengal",3811,,231
"2020-04","2020-04-17","Andaman and Nicobar Islands",1403,1210,12
"2020-04","2020-04-17","Andhra Pradesh",20235,,572
"2020-04","2020-04-17","Arunachal Pradesh",363,338,1
"2020-04","2020-04-17","Assam",4236,4024,34
"2020-04","2020-04-17","Bihar",9486,,83
"2020-04","2020-04-17","Chandigarh",358,335,21
"2020-04","2020-04-17","Chhattisgarh",5776,5484,36
"2020-04","2020-04-17","Delhi",21409,16899,1707
"2020-04","2020-04-17","Goa",673,,7
"2020-04","2020-04-17","Gujarat",23483,22339,1099
"2020-04","2020-04-17","Haryana",8884,7148,223
"2020-04","2020-04-17","Himachal Pradesh",1992,1740,36
"2020-04","2020-04-17","Jammu and Kashmir",6438,6110,328
"2020-04","2020-04-17","Jharkhand",3143,3111,32
"2020-04","2020-04-17","Karnataka",17594,14606,359
"2020-04","2020-04-17","Kerala",18029,17279,395
"2020-04","2020-04-17","Madhya Pradesh",15302,13992,1310
"2020-04","2020-04-17","Manipur",311,,2
"2020-04","2020-04-17","Meghalaya",617,541,9
"2020-04","2020-04-17","Nagaland",274,222,0
"2020-04","2020-04-17","Odisha",7577,7517,60
"2020-04","2020-04-17","Punjab",5988,5113,211
"2020-04","2020-04-17","Rajasthan",42847,36153,1229
"2020-04","2020-04-17","Tamil Nadu",29673,21628,1323
"2020-04","2020-04-17","Uttar Pradesh",24643,23648,849
"2020-04","2020-04-17","Uttarakhand",2831,2420,40
"2020-04","2020-04-17","West Bengal",4212,,255
"2020-04","2020-04-18","Andhra Pradesh",21450,20487,603
"2020-04","2020-04-18","Arunachal Pradesh",389,358,1
"2020-04","2020-04-18","Assam",4400,4199,34
"2020-04","2020-04-18","Bihar",10130,,85
"2020-04","2020-04-18","Chandigarh",381,348,23
